id,step,level,nextNeedExp,nextLevelCostCoin,nextLevelSoul,getExp,levelUpToStep,levelUpToLevel,acupoint,critRate,activeSkill,MaxHP,MaxMP,MaxSP,PA,MA,PF,MF,HPRecover,MPRecover,SPRecover,MaxHPAdd,MaxMPAdd,MaxSPAdd,PAAdd,MAAdd,PFAdd,MFAdd,HPRecoverAdd,MPRecoverAdd,SPRecoverAdd,power,positionX,positionY
9018,9,18,21845,900,225,225,9,19,55,50;30;20,,0,0,0,0,0,0,140,,,,617784,0,8110,10484,10557,10886,10927,0,0,0,137020,897,196
9019,9,19,22270,920,230,230,9,20,,50;30;20,,0,0,0,0,0,0,0,,,,617784,0,8110,10484,10557,10886,10927,0,0,0,137020,928,126
9020,9,20,22695,940,235,235,9,21,,50;30;20,,0,0,0,0,0,151,0,,,,617784,0,8110,10484,10557,11037,10927,0,0,0,137141,996,87
9021,9,21,23120,960,240,240,9,22,,50;30;20,,0,0,0,0,0,0,152,,,,617784,0,8110,10484,10557,11037,11079,0,0,0,137262,1075,100
9022,9,22,23545,980,245,245,9,23,,50;30;20,,0,0,0,0,0,0,0,,,,617784,0,8110,10484,10557,11037,11079,0,0,0,137262,1098,168
9023,9,23,23970,1000,250,250,9,24,,50;30;20,,0,0,0,0,0,162,0,,,,617784,0,8110,10484,10557,11199,11079,0,0,0,137392,1108,240
9024,9,24,24395,1020,255,255,9,25,,50;30;20,,0,0,0,0,0,0,163,,,,617784,0,8110,10484,10557,11199,11242,0,0,0,137522,1160,287
9025,9,25,24820,1040,260,260,9,26,,50;30;20,,0,0,0,0,0,0,0,,,,617784,0,8110,10484,10557,11199,11242,0,0,0,137522,1230,302
9026,9,26,25245,1060,265,265,9,27,,50;30;20,,0,0,0,0,0,174,0,,,,617784,0,8110,10484,10557,11373,11242,0,0,0,137662,1301,315
9027,9,27,25670,1080,270,270,9,28,,50;30;20,,0,0,0,0,0,0,175,,,,617784,0,8110,10484,10557,11373,11417,0,0,0,137802,1368,291
9028,9,28,26095,1100,275,275,9,29,56,50;30;20,,0,0,0,0,0,0,0,,,,617784,0,8110,10484,10557,11373,11417,0,0,0,137802,1339,231
9029,9,29,26520,1120,280,280,9,30,,50;30;20,,0,0,0,0,0,185,0,,,,617784,0,8110,10484,10557,11558,11417,0,0,0,137950,1288,181
9030,9,30,26945,1140,285,285,9,31,,50;30;20,,0,0,0,0,0,0,186,,,,617784,0,8110,10484,10557,11558,11603,0,0,0,138098,1333,129
9031,9,31,27370,1160,290,290,9,32,,50;30;20,,0,0,0,0,0,0,0,,,,617784,0,8110,10484,10557,11558,11603,0,0,0,138098,1402,121
9032,9,32,27795,1180,295,295,9,33,,50;30;20,,0,0,0,0,0,197,0,,,,617784,0,8110,10484,10557,11755,11603,0,0,0,138256,1380,196
9033,9,33,28220,1200,300,300,9,34,,50;30;20,,0,0,0,0,0,0,197,,,,617784,0,8110,10484,10557,11755,11800,0,0,0,138414,1428,249
9034,9,34,28645,1220,305,305,9,35,,50;30;20,,0,0,0,0,0,0,0,,,,617784,0,8110,10484,10557,11755,11800,0,0,0,138414,1475,196
9035,9,35,29070,1240,310,310,9,36,,50;30;20,,0,0,0,0,0,209,0,,,,617784,0,8110,10484,10557,11964,11800,0,0,0,138581,1506,126
9036,9,36,29495,1260,315,315,9,37,,50;30;20,,0,0,0,0,0,0,209,,,,617784,0,8110,10484,10557,11964,12009,0,0,0,138748,1574,87
9037,9,37,29920,1280,320,320,9,38,,50;30;20,,0,0,0,0,0,0,0,,,,617784,0,8110,10484,10557,11964,12009,0,0,0,138748,1653,100
9038,9,38,30345,1300,325,325,9,39,57,50;30;20,,0,0,0,0,0,220,0,,,,617784,0,8110,10484,10557,12184,12009,0,0,0,138924,1676,168
9039,9,39,30770,1320,330,330,9,40,,50;30;20,,0,0,0,0,0,0,220,,,,617784,0,8110,10484,10557,12184,12229,0,0,0,139100,1686,240
9040,9,40,31195,1340,335,335,9,41,,50;30;20,,0,0,0,0,0,0,0,,,,617784,0,8110,10484,10557,12184,12229,0,0,0,139100,1738,287
9041,9,41,31620,1360,340,340,9,42,,50;30;20,,0,0,0,0,0,232,0,,,,617784,0,8110,10484,10557,12416,12229,0,0,0,139286,1808,302
9042,9,42,32045,1380,345,345,9,43,,50;30;20,,0,0,0,0,0,0,232,,,,617784,0,8110,10484,10557,12416,12461,0,0,0,139471,1879,315
9043,9,43,32470,1400,350,350,9,44,,50;30;20,,0,0,0,0,0,0,0,,,,617784,0,8110,10484,10557,12416,12461,0,0,0,139471,1946,291
9044,9,44,32895,1420,355,355,9,45,,50;30;20,,0,0,0,0,0,243,0,,,,617784,0,8110,10484,10557,12659,12461,0,0,0,139666,1917,231
9045,9,45,33320,1440,360,360,9,46,,50;30;20,,0,0,0,0,0,0,243,,,,617784,0,8110,10484,10557,12659,12704,0,0,0,139860,1866,181
9046,9,46,33745,1460,365,365,9,47,,50;30;20,,0,0,0,0,0,0,0,,,,617784,0,8110,10484,10557,12659,12704,0,0,0,139860,1911,129
9047,9,47,34170,1480,370,370,9,48,,50;30;20,,0,0,0,0,0,255,0,,,,617784,0,8110,10484,10557,12914,12704,0,0,0,140064,1980,121
9048,9,48,34595,1500,375,375,9,49,58,50;30;20,,0,0,0,0,0,0,254,,,,617784,0,8110,10484,10557,12914,12958,0,0,0,140267,1958,196
9049,9,49,35020,1520,380,380,9,50,,50;30;20,,0,0,0,0,0,0,0,,,,617784,0,8110,10484,10557,12914,12958,0,0,0,140267,2006,249
9050,9,50,35445,1540,385,385,9,51,,50;30;20,,0,0,0,0,0,267,0,,,,617784,0,8110,10484,10557,13181,12958,0,0,0,140481,2053,196
9051,9,51,35870,1560,390,390,9,52,,50;30;20,,0,0,0,0,0,0,266,,,,617784,0,8110,10484,10557,13181,13224,0,0,0,140694,2084,126
9052,9,52,36295,1580,395,395,9,53,,50;30;20,,0,0,0,0,0,0,0,,,,617784,0,8110,10484,10557,13181,13224,0,0,0,140694,2152,87
9053,9,53,36720,1600,400,400,9,54,,50;30;20,,0,0,0,0,0,278,0,,,,617784,0,8110,10484,10557,13459,13224,0,0,0,140916,2231,100
9054,9,54,37145,1620,405,405,9,55,,50;30;20,,0,0,0,0,0,0,277,,,,617784,0,8110,10484,10557,13459,13501,0,0,0,141138,2254,168
9055,9,55,37570,1640,410,410,9,56,,50;30;20,,0,0,0,0,0,0,0,,,,617784,0,8110,10484,10557,13459,13501,0,0,0,141138,2264,240
9056,9,56,37995,1660,415,415,9,57,,50;30;20,,0,0,0,0,0,290,0,,,,617784,0,8110,10484,10557,13749,13501,0,0,0,141370,2316,287
9057,9,57,38420,1680,420,420,9,58,,50;30;20,,0,0,0,0,0,0,288,,,,617784,0,8110,10484,10557,13749,13789,0,0,0,141600,2386,302
9058,9,58,38845,1700,425,425,9,59,59,50;30;20,,0,0,0,0,0,0,0,,,,617784,0,8110,10484,10557,13749,13789,0,0,0,141600,2457,315
9059,9,59,39270,1720,430,430,9,60,,50;30;20,,0,0,0,0,0,301,0,,,,617784,0,8110,10484,10557,14050,13789,0,0,0,141841,2524,291
9060,9,60,39695,1740,435,435,9,61,,50;30;20,,0,0,0,0,0,0,300,,,,617784,0,8110,10484,10557,14050,14089,0,0,0,142081,2495,231
9061,9,61,40120,1760,440,440,9,62,,50;30;20,,0,0,0,0,0,0,0,,,,617784,0,8110,10484,10557,14050,14089,0,0,0,142081,2444,181
9062,9,62,40545,1780,445,445,9,63,,50;30;20,,0,0,0,0,0,313,0,,,,617784,0,8110,10484,10557,14363,14089,0,0,0,142331,2489,129
9063,9,63,40970,1800,450,450,9,64,,50;30;20,,0,0,0,0,0,0,311,,,,617784,0,8110,10484,10557,14363,14400,0,0,0,142580,2558,121
9064,9,64,41395,1820,455,455,9,65,,50;30;20,,0,0,0,0,0,0,0,,,,617784,0,8110,10484,10557,14363,14400,0,0,0,142580,2536,196
9065,9,65,41820,1840,460,460,9,66,,50;30;20,,0,0,0,0,0,325,0,,,,617784,0,8110,10484,10557,14688,14400,0,0,0,142840,2584,249
9066,9,66,42245,1860,465,465,9,67,,50;30;20,,0,0,0,0,0,0,323,,,,617784,0,8110,10484,10557,14688,14723,0,0,0,143098,2631,196
9067,9,67,42670,1880,470,470,9,68,,50;30;20,,0,0,0,0,0,0,0,,,,617784,0,8110,10484,10557,14688,14723,0,0,0,143098,2662,126
9068,9,68,43095,1900,475,475,9,69,60,50;30;20,,0,0,0,0,0,336,0,,,,617784,0,8110,10484,10557,15024,14723,0,0,0,143367,2730,87
9069,9,69,43520,1920,480,480,9,70,,50;30;20,,0,0,0,0,0,0,334,,,,617784,0,8110,10484,10557,15024,15057,0,0,0,143634,2809,100
9070,9,70,43945,1940,485,485,9,71,,50;30;20,,0,0,0,0,0,0,0,,,,617784,0,8110,10484,10557,15024,15057,0,0,0,143634,2832,168
9071,9,71,44370,1960,490,490,9,72,,50;30;20,,0,0,0,0,0,348,0,,,,617784,0,8110,10484,10557,15372,15057,0,0,0,143913,2842,240
9072,9,72,44795,1980,495,495,9,73,,50;30;20,,0,0,0,0,0,0,345,,,,617784,0,8110,10484,10557,15372,15402,0,0,0,144189,2894,287
9073,9,73,45220,2000,500,500,9,74,,50;30;20,,0,0,0,0,0,0,0,,,,617784,0,8110,10484,10557,15372,15402,0,0,0,144189,2964,302
9074,9,74,45645,2020,505,505,9,75,,50;30;20,,0,0,0,0,0,359,0,,,,617784,0,8110,10484,10557,15731,15402,0,0,0,144476,3035,315
9075,9,75,46070,2040,510,510,9,76,,50;30;20,,0,0,0,0,0,0,357,,,,617784,0,8110,10484,10557,15731,15759,0,0,0,144762,3102,291
9076,9,76,46495,2060,515,515,9,77,,50;30;20,,0,0,0,0,0,0,0,,,,617784,0,8110,10484,10557,15731,15759,0,0,0,144762,3073,231
9077,9,77,46920,2080,520,520,9,78,,50;30;20,,0,0,0,0,0,371,0,,,,617784,0,8110,10484,10557,16102,15759,0,0,0,145058,3022,181
9078,9,78,47345,2100,525,525,9,79,61,50;30;20,,0,0,0,0,0,0,368,,,,617784,0,8110,10484,10557,16102,16127,0,0,0,145353,3067,129
9079,9,79,47770,2120,530,530,9,80,,50;30;20,,0,0,0,0,0,0,0,,,,617784,0,8110,10484,10557,16102,16127,0,0,0,145353,3136,121
9080,9,80,48195,2140,535,535,9,81,,50;30;20,,0,0,0,0,0,383,0,,,,617784,0,8110,10484,10557,16485,16127,0,0,0,145659,3114,196
9081,9,81,48620,2160,540,540,9,82,,50;30;20,,0,0,0,0,0,0,380,,,,617784,0,8110,10484,10557,16485,16507,0,0,0,145963,3162,249
9082,9,82,49045,2180,545,545,9,83,,50;30;20,,0,0,0,0,0,0,0,,,,617784,0,8110,10484,10557,16485,16507,0,0,0,145963,3209,196
9083,9,83,49470,2200,550,550,9,84,,50;30;20,,0,0,0,0,0,394,0,,,,617784,0,8110,10484,10557,16879,16507,0,0,0,146278,3240,126
9084,9,84,49895,2220,555,555,9,85,,50;30;20,,0,0,0,0,0,0,391,,,,617784,0,8110,10484,10557,16879,16898,0,0,0,146591,3308,87
9085,9,85,50320,2240,560,560,9,86,,50;30;20,,0,0,0,0,0,0,0,,,,617784,0,8110,10484,10557,16879,16898,0,0,0,146591,3387,100
9086,9,86,50745,2260,565,565,9,87,,50;30;20,,0,0,0,0,0,406,0,,,,617784,0,8110,10484,10557,17285,16898,0,0,0,146916,3410,168
9087,9,87,51170,2280,570,570,9,88,,50;30;20,,0,0,0,0,0,0,402,,,,617784,0,8110,10484,10557,17285,17300,0,0,0,147238,3420,240
9088,9,88,51595,2300,575,575,9,89,62,50;30;20,,0,0,0,0,0,0,0,,,,617784,0,8110,10484,10557,17285,17300,0,0,0,147238,3472,287
9089,9,89,52020,2320,580,580,9,90,,50;30;20,,0,0,0,0,0,417,0,,,,617784,0,8110,10484,10557,17702,17300,0,0,0,147571,3542,302
9090,9,90,52445,2340,585,585,9,91,,50;30;20,,0,0,0,0,0,0,414,,,,617784,0,8110,10484,10557,17702,17714,0,0,0,147902,3613,315
9091,9,91,52870,2360,590,590,9,92,,50;30;20,,0,0,0,0,0,0,0,,,,617784,0,8110,10484,10557,17702,17714,0,0,0,147902,3680,291
9092,9,92,53295,2380,595,595,9,93,,50;30;20,,0,0,0,0,0,429,0,,,,617784,0,8110,10484,10557,18131,17714,0,0,0,148246,3651,231
9093,9,93,53720,2400,600,600,9,94,,50;30;20,,0,0,0,0,0,0,425,,,,617784,0,8110,10484,10557,18131,18139,0,0,0,148586,3600,181
9094,9,94,54145,2420,605,605,9,95,,50;30;20,,0,0,0,0,0,0,0,,,,617784,0,8110,10484,10557,18131,18139,0,0,0,148586,3645,129
9095,9,95,54570,2440,610,610,9,96,,50;30;20,,0,0,0,0,0,440,0,,,,617784,0,8110,10484,10557,18571,18139,0,0,0,148938,3714,121
9096,9,96,54995,2460,615,615,9,97,,50;30;20,,0,0,0,0,0,0,436,,,,617784,0,8110,10484,10557,18571,18575,0,0,0,149286,3692,196
9097,9,97,55420,2480,620,620,9,98,,50;30;20,,0,0,0,0,0,0,0,,,,617784,0,8110,10484,10557,18571,18575,0,0,0,149286,3740,249
9098,9,98,55845,2500,625,625,9,99,63,50;30;20,,0,0,0,0,0,452,0,,,,617784,0,8110,10484,10557,19023,18575,0,0,0,149648,3787,196
9099,9,99,56270,2520,630,630,9,100,,50;30;20,,0,0,0,0,0,0,448,,,,617784,0,8110,10484,10557,19023,19023,0,0,0,150006,3818,126
9100,9,100,0,0,635,635,10,0,,50;30;20,,0,0,0,0,0,0,0,,,,617784,0,8110,10484,10557,19023,19023,0,0,0,150006,3886,87
10000,10,0,17425,750,150,150,10,1,,50;30;20,,30181,0,238,1108,1108,618,618,,,,647965,0,8348,11592,11665,19641,19641,0,0,0,167725,224,196
10001,10,1,17850,775,155,155,10,2,,50;30;20,,2218,0,0,0,0,0,0,,,,650183,0,8348,11592,11665,19641,19641,0,0,0,167801,272,249
10002,10,2,18275,800,160,160,10,3,,50;30;20,,0,0,0,132,0,0,0,,,,650183,0,8348,11724,11665,19641,19641,0,0,0,167933,319,196
10003,10,3,18700,825,165,165,10,4,,50;30;20,,0,0,0,0,136,0,0,,,,650183,0,8348,11724,11801,19641,19641,0,0,0,168069,350,126
10004,10,4,19125,850,170,170,10,5,,50;30;20,,2550,0,0,0,0,0,0,,,,652733,0,8348,11724,11801,19641,19641,0,0,0,168156,418,87
10005,10,5,19550,875,175,175,10,6,,50;30;20,,0,0,0,151,0,0,0,,,,652733,0,8348,11875,11801,19641,19641,0,0,0,168307,497,100
10006,10,6,19975,900,180,180,10,7,,50;30;20,,0,0,0,0,155,0,0,,,,652733,0,8348,11875,11956,19641,19641,0,0,0,168462,520,168
10007,10,7,20400,925,185,185,10,8,,50;30;20,,2883,0,0,0,0,0,0,,,,655616,0,8348,11875,11956,19641,19641,0,0,0,168560,530,240
10008,10,8,20825,950,190,190,10,9,,50;30;20,,0,0,0,170,0,0,0,,,,655616,0,8348,12045,11956,19641,19641,0,0,0,168730,582,287
10009,10,9,21250,975,195,195,10,10,64,50;30;20,,0,0,0,0,173,0,0,,,,655616,0,8348,12045,12129,19641,19641,0,0,0,168903,652,302
10010,10,10,21675,1000,200,200,10,11,,50;30;20,,3215,0,0,0,0,0,0,,,,658831,0,8348,12045,12129,19641,19641,0,0,0,169012,723,315
10011,10,11,22100,1025,205,205,10,12,,50;30;20,,0,0,0,188,0,0,0,,,,658831,0,8348,12233,12129,19641,19641,0,0,0,169200,790,291
10012,10,12,22525,1050,210,210,10,13,,50;30;20,,0,0,0,0,192,0,0,,,,658831,0,8348,12233,12321,19641,19641,0,0,0,169392,761,231
10013,10,13,22950,1075,215,215,10,14,,50;30;20,,3548,0,0,0,0,0,0,,,,662379,0,8348,12233,12321,19641,19641,0,0,0,169512,710,181
10014,10,14,23375,1100,220,220,10,15,,50;30;20,,0,0,0,207,0,0,0,,,,662379,0,8348,12440,12321,19641,19641,0,0,0,169719,755,129
10015,10,15,23800,1125,225,225,10,16,,50;30;20,,0,0,0,0,210,0,0,,,,662379,0,8348,12440,12531,19641,19641,0,0,0,169929,824,121
10016,10,16,24225,1150,230,230,10,17,,50;30;20,,3881,0,0,0,0,0,0,,,,666260,0,8348,12440,12531,19641,19641,0,0,0,170061,802,196
10017,10,17,24650,1175,235,235,10,18,,50;30;20,,0,0,0,226,0,0,0,,,,666260,0,8348,12666,12531,19641,19641,0,0,0,170287,850,249
10018,10,18,25075,1200,240,240,10,19,,50;30;20,,0,0,0,0,229,0,0,,,,666260,0,8348,12666,12760,19641,19641,0,0,0,170516,897,196
10019,10,19,25500,1225,245,245,10,20,,50;30;20,,4213,0,0,0,0,0,0,,,,670473,0,8348,12666,12760,19641,19641,0,0,0,170660,928,126
10020,10,20,25925,1250,250,250,10,21,65,50;30;20,,0,0,0,245,0,0,0,,,,670473,0,8348,12911,12760,19641,19641,0,0,0,170905,996,87
10021,10,21,26350,1275,255,255,10,22,,50;30;20,,0,0,0,0,248,0,0,,,,670473,0,8348,12911,13008,19641,19641,0,0,0,171153,1075,100
10022,10,22,26775,1300,260,260,10,23,,50;30;20,,4546,0,0,0,0,0,0,,,,675019,0,8348,12911,13008,19641,19641,0,0,0,171307,1098,168
10023,10,23,27200,1325,265,265,10,24,,50;30;20,,0,0,0,264,0,0,0,,,,675019,0,8348,13175,13008,19641,19641,0,0,0,171571,1108,240
10024,10,24,27625,1350,270,270,10,25,,50;30;20,,0,0,0,0,266,0,0,,,,675019,0,8348,13175,13274,19641,19641,0,0,0,171837,1160,287
10025,10,25,28050,1375,275,275,10,26,,50;30;20,,4879,0,0,0,0,0,0,,,,679898,0,8348,13175,13274,19641,19641,0,0,0,172003,1230,302
10026,10,26,28475,1400,280,280,10,27,,50;30;20,,0,0,0,283,0,0,0,,,,679898,0,8348,13458,13274,19641,19641,0,0,0,172286,1301,315
10027,10,27,28900,1425,285,285,10,28,,50;30;20,,0,0,0,0,285,0,0,,,,679898,0,8348,13458,13559,19641,19641,0,0,0,172571,1368,291
10028,10,28,29325,1450,290,290,10,29,,50;30;20,,5211,0,0,0,0,0,0,,,,685109,0,8348,13458,13559,19641,19641,0,0,0,172748,1339,231
10029,10,29,29750,1475,295,295,10,30,,50;30;20,,0,0,0,302,0,0,0,,,,685109,0,8348,13760,13559,19641,19641,0,0,0,173050,1288,181
10030,10,30,30175,1500,300,300,10,31,,50;30;20,,0,0,0,0,303,0,0,,,,685109,0,8348,13760,13862,19641,19641,0,0,0,173353,1333,129
10031,10,31,30600,1525,305,305,10,32,66,50;30;20,,5544,0,0,0,0,0,0,,,,690653,0,8348,13760,13862,19641,19641,0,0,0,173542,1402,121
10032,10,32,31025,1550,310,310,10,33,,50;30;20,,0,0,0,320,0,0,0,,,,690653,0,8348,14080,13862,19641,19641,0,0,0,173862,1380,196
10033,10,33,31450,1575,315,315,10,34,,50;30;20,,0,0,0,0,322,0,0,,,,690653,0,8348,14080,14184,19641,19641,0,0,0,174184,1428,249
10034,10,34,31875,1600,320,320,10,35,,50;30;20,,5876,0,0,0,0,0,0,,,,696529,0,8348,14080,14184,19641,19641,0,0,0,174384,1475,196
10035,10,35,32300,1625,325,325,10,36,,50;30;20,,0,0,0,339,0,0,0,,,,696529,0,8348,14419,14184,19641,19641,0,0,0,174723,1506,126
10036,10,36,32725,1650,330,330,10,37,,50;30;20,,0,0,0,0,340,0,0,,,,696529,0,8348,14419,14524,19641,19641,0,0,0,175063,1574,87
10037,10,37,33150,1675,335,335,10,38,,50;30;20,,6209,0,0,0,0,0,0,,,,702738,0,8348,14419,14524,19641,19641,0,0,0,175274,1653,100
10038,10,38,33575,1700,340,340,10,39,,50;30;20,,0,0,0,358,0,0,0,,,,702738,0,8348,14777,14524,19641,19641,0,0,0,175632,1676,168
10039,10,39,34000,1725,345,345,10,40,,50;30;20,,0,0,0,0,359,0,0,,,,702738,0,8348,14777,14883,19641,19641,0,0,0,175991,1686,240
10040,10,40,34425,1750,350,350,10,41,,50;30;20,,6542,0,0,0,0,0,0,,,,709280,0,8348,14777,14883,19641,19641,0,0,0,176213,1738,287
10041,10,41,34850,1775,355,355,10,42,,50;30;20,,0,0,0,377,0,0,0,,,,709280,0,8348,15154,14883,19641,19641,0,0,0,176590,1808,302
10042,10,42,35275,1800,360,360,10,43,67,50;30;20,,0,0,0,0,378,0,0,,,,709280,0,8348,15154,15261,19641,19641,0,0,0,176968,1879,315
10043,10,43,35700,1825,365,365,10,44,,50;30;20,,6874,0,0,0,0,0,0,,,,716154,0,8348,15154,15261,19641,19641,0,0,0,177202,1946,291
10044,10,44,36125,1850,370,370,10,45,,50;30;20,,0,0,0,396,0,0,0,,,,716154,0,8348,15550,15261,19641,19641,0,0,0,177598,1917,231
10045,10,45,36550,1875,375,375,10,46,,50;30;20,,0,0,0,0,396,0,0,,,,716154,0,8348,15550,15657,19641,19641,0,0,0,177994,1866,181
10046,10,46,36975,1900,380,380,10,47,,50;30;20,,7207,0,0,0,0,0,0,,,,723361,0,8348,15550,15657,19641,19641,0,0,0,178239,1911,129
10047,10,47,37400,1925,385,385,10,48,,50;30;20,,0,0,0,415,0,0,0,,,,723361,0,8348,15965,15657,19641,19641,0,0,0,178654,1980,121
10048,10,48,37825,1950,390,390,10,49,,50;30;20,,0,0,0,0,415,0,0,,,,723361,0,8348,15965,16072,19641,19641,0,0,0,179069,1958,196
10049,10,49,38250,1975,395,395,10,50,,50;30;20,,7540,0,0,0,0,0,0,,,,730901,0,8348,15965,16072,19641,19641,0,0,0,179325,2006,249
10050,10,50,38675,2000,400,400,10,51,,50;30;20,,0,0,0,433,0,0,0,,,,730901,0,8348,16398,16072,19641,19641,0,0,0,179758,2053,196
10051,10,51,39100,2025,405,405,10,52,,50;30;20,,0,0,0,0,433,0,0,,,,730901,0,8348,16398,16505,19641,19641,0,0,0,180191,2084,126
10052,10,52,39525,2050,410,410,10,53,,50;30;20,,7872,0,0,0,0,0,0,,,,738773,0,8348,16398,16505,19641,19641,0,0,0,180459,2152,87
10053,10,53,39950,2075,415,415,10,54,68,50;30;20,,0,0,0,452,0,0,0,,,,738773,0,8348,16850,16505,19641,19641,0,0,0,180911,2231,100
10054,10,54,40375,2100,420,420,10,55,,50;30;20,,0,0,0,0,452,0,0,,,,738773,0,8348,16850,16957,19641,19641,0,0,0,181363,2254,168
10055,10,55,40800,2125,425,425,10,56,,50;30;20,,8205,0,0,0,0,0,0,,,,746978,0,8348,16850,16957,19641,19641,0,0,0,181642,2264,240
10056,10,56,41225,2150,430,430,10,57,,50;30;20,,0,0,0,471,0,0,0,,,,746978,0,8348,17321,16957,19641,19641,0,0,0,182113,2316,287
10057,10,57,41650,2175,435,435,10,58,,50;30;20,,0,0,0,0,470,0,0,,,,746978,0,8348,17321,17427,19641,19641,0,0,0,182583,2386,302
10058,10,58,42075,2200,440,440,10,59,,50;30;20,,8537,0,0,0,0,0,0,,,,755515,0,8348,17321,17427,19641,19641,0,0,0,182873,2457,315
10059,10,59,42500,2225,445,445,10,60,,50;30;20,,0,0,0,490,0,0,0,,,,755515,0,8348,17811,17427,19641,19641,0,0,0,183363,2524,291
10060,10,60,42925,2250,450,450,10,61,,50;30;20,,0,0,0,0,489,0,0,,,,755515,0,8348,17811,17916,19641,19641,0,0,0,183852,2495,231
10061,10,61,43350,2275,455,455,10,62,,50;30;20,,8870,0,0,0,0,0,0,,,,764385,0,8348,17811,17916,19641,19641,0,0,0,184154,2444,181
10062,10,62,43775,2300,460,460,10,63,,50;30;20,,0,0,0,509,0,0,0,,,,764385,0,8348,18320,17916,19641,19641,0,0,0,184663,2489,129
10063,10,63,44200,2325,465,465,10,64,,50;30;20,,0,0,0,0,508,0,0,,,,764385,0,8348,18320,18424,19641,19641,0,0,0,185171,2558,121
10064,10,64,44625,2350,470,470,10,65,69,50;30;20,,9203,0,0,0,0,0,0,,,,773588,0,8348,18320,18424,19641,19641,0,0,0,185484,2536,196
10065,10,65,45050,2375,475,475,10,66,,50;30;20,,0,0,0,528,0,0,0,,,,773588,0,8348,18848,18424,19641,19641,0,0,0,186012,2584,249
10066,10,66,45475,2400,480,480,10,67,,50;30;20,,0,0,0,0,526,0,0,,,,773588,0,8348,18848,18950,19641,19641,0,0,0,186538,2631,196
10067,10,67,45900,2425,485,485,10,68,,50;30;20,,9535,0,0,0,0,0,0,,,,783123,0,8348,18848,18950,19641,19641,0,0,0,186862,2662,126
10068,10,68,46325,2450,490,490,10,69,,50;30;20,,0,0,0,547,0,0,0,,,,783123,0,8348,19395,18950,19641,19641,0,0,0,187409,2730,87
10069,10,69,46750,2475,495,495,10,70,,50;30;20,,0,0,0,0,545,0,0,,,,783123,0,8348,19395,19495,19641,19641,0,0,0,187954,2809,100
10070,10,70,47175,2500,500,500,10,71,,50;30;20,,9868,0,0,0,0,0,0,,,,792991,0,8348,19395,19495,19641,19641,0,0,0,188289,2832,168
10071,10,71,47600,2525,505,505,10,72,,50;30;20,,0,0,0,565,0,0,0,,,,792991,0,8348,19960,19495,19641,19641,0,0,0,188854,2842,240
10072,10,72,48025,2550,510,510,10,73,,50;30;20,,0,0,0,0,563,0,0,,,,792991,0,8348,19960,20058,19641,19641,0,0,0,189417,2894,287
10073,10,73,48450,2575,515,515,10,74,,50;30;20,,10201,0,0,0,0,0,0,,,,803192,0,8348,19960,20058,19641,19641,0,0,0,189764,2964,302
10074,10,74,48875,2600,520,520,10,75,,50;30;20,,0,0,0,584,0,0,0,,,,803192,0,8348,20544,20058,19641,19641,0,0,0,190348,3035,315
10075,10,75,49300,2625,525,525,10,76,70,50;30;20,,0,0,0,0,582,0,0,,,,803192,0,8348,20544,20640,19641,19641,0,0,0,190930,3102,291
10076,10,76,49725,2650,530,530,10,77,,50;30;20,,10533,0,0,0,0,0,0,,,,813725,0,8348,20544,20640,19641,19641,0,0,0,191288,3073,231
10077,10,77,50150,2675,535,535,10,78,,50;30;20,,0,0,0,603,0,0,0,,,,813725,0,8348,21147,20640,19641,19641,0,0,0,191891,3022,181
10078,10,78,50575,2700,540,540,10,79,,50;30;20,,0,0,0,0,600,0,0,,,,813725,0,8348,21147,21240,19641,19641,0,0,0,192491,3067,129
10079,10,79,51000,2725,545,545,10,80,,50;30;20,,10866,0,0,0,0,0,0,,,,824591,0,8348,21147,21240,19641,19641,0,0,0,192861,3136,121
10080,10,80,51425,2750,550,550,10,81,,50;30;20,,0,0,0,622,0,0,0,,,,824591,0,8348,21769,21240,19641,19641,0,0,0,193483,3114,196
10081,10,81,51850,2775,555,555,10,82,,50;30;20,,0,0,0,0,619,0,0,,,,824591,0,8348,21769,21859,19641,19641,0,0,0,194102,3162,249
10082,10,82,52275,2800,560,560,10,83,,50;30;20,,11198,0,0,0,0,0,0,,,,835789,0,8348,21769,21859,19641,19641,0,0,0,194482,3209,196
10083,10,83,52700,2825,565,565,10,84,,50;30;20,,0,0,0,641,0,0,0,,,,835789,0,8348,22410,21859,19641,19641,0,0,0,195123,3240,126
10084,10,84,53125,2850,570,570,10,85,,50;30;20,,0,0,0,0,638,0,0,,,,835789,0,8348,22410,22497,19641,19641,0,0,0,195761,3308,87
10085,10,85,53550,2875,575,575,10,86,,50;30;20,,11531,0,0,0,0,0,0,,,,847320,0,8348,22410,22497,19641,19641,0,0,0,196153,3387,100
10086,10,86,53975,2900,580,580,10,87,71,50;30;20,,0,0,0,660,0,0,0,,,,847320,0,8348,23070,22497,19641,19641,0,0,0,196813,3410,168
10087,10,87,54400,2925,585,585,10,88,,50;30;20,,0,0,0,0,656,0,0,,,,847320,0,8348,23070,23153,19641,19641,0,0,0,197469,3420,240
10088,10,88,54825,2950,590,590,10,89,,50;30;20,,11864,0,0,0,0,0,0,,,,859184,0,8348,23070,23153,19641,19641,0,0,0,197873,3472,287
